id,predict_set_y,target_y
0,0.0,0
1,1.0,0
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,0
9,0.0,0
10,1.0,1
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,1.0,1
18,-0.0,0
19,1.0,1
20,1.0,0
21,0.0,1
22,0.0,0
23,1.0,1
24,1.0,1
25,1.0,0
26,1.0,1
27,0.0,0
28,0.0,0
29,1.0,1
30,1.0,1
31,0.0,0
32,1.0,0
33,0.0,1
34,-0.0,0
35,0.0,0
36,1.0,1
37,0.0,1
38,1.0,1
39,0.0,0
40,1.0,1
41,1.0,1
42,1.0,1
43,0.0,0
44,1.0,1
45,0.0,0
46,0.0,0
47,-0.0,0
48,0.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,1.0,0
53,1.0,0
54,1.0,1
55,1.0,1
56,1.0,1
57,0.0,0
58,0.0,1
59,-0.0,0
60,0.0,1
61,0.0,0
62,1.0,1
63,0.0,1
64,0.0,0
65,-0.0,0
66,0.0,0
67,1.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,-0.0,0
72,1.0,1
73,0.0,1
74,-0.0,0
75,0.0,0
76,0.0,0
77,1.0,1
78,0.0,1
79,0.0,0
80,1.0,1
81,0.0,1
82,0.0,0
83,0.0,0
84,1.0,1
85,1.0,1
86,1.0,1
87,-0.0,0
88,0.0,0
89,0.0,0
90,-0.0,0
91,0.0,0
92,0.0,1
93,0.0,0
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,0.0,0
99,1.0,0
100,1.0,1
101,1.0,0
102,0.0,0
103,0.0,0
104,-0.0,0
105,0.0,0
106,0.0,0
107,0.0,0
108,0.0,1
109,0.0,0
110,0.0,1
111,-0.0,0
112,0.0,0
113,1.0,1
114,1.0,1
115,-0.0,1
116,1.0,1
117,0.0,1
118,0.0,0
119,1.0,1
120,1.0,0
121,1.0,1
122,0.0,0
123,0.0,1
124,0.0,0
125,0.0,0
126,0.0,0
127,0.0,1
128,0.0,0
129,1.0,1
130,0.0,0
131,1.0,1
132,-0.0,0
133,1.0,1
134,1.0,1
135,1.0,1
136,0.0,0
137,0.0,0
138,0.0,0
139,1.0,1
140,0.0,0
141,1.0,1
142,1.0,1
143,0.0,1
144,-0.0,0
145,1.0,1
146,1.0,1
147,0.0,1
148,1.0,1
149,1.0,1
150,0.0,1
151,-0.0,0
