id,predict_set_y,target_y
0,0.0,0
1,0.0,1
2,0.0,0
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,0.0,0
8,1.0,0
9,1.0,1
10,1.0,0
11,0.0,0
12,0.0,0
13,-0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,1
18,0.0,0
19,0.0,1
20,-0.0,0
21,0.0,0
22,1.0,1
23,1.0,1
24,0.0,1
25,1.0,1
26,0.0,1
27,0.0,0
28,1.0,1
29,1.0,0
30,1.0,1
31,0.0,0
32,0.0,1
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,1
37,0.0,0
38,1.0,1
39,0.0,0
40,1.0,1
41,-0.0,0
42,1.0,1
43,1.0,1
44,1.0,1
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,1
49,-0.0,0
50,1.0,1
51,1.0,1
52,0.0,1
53,-0.0,0
54,1.0,1
55,1.0,1
56,0.0,1
57,1.0,1
58,1.0,1
59,0.0,1
60,0.0,0
